conversation_id,emotion_type,problem_type,anger_trajectory,disgust_trajectory,fear_trajectory,joy_trajectory,neutral_trajectory,sadness_trajectory,surprise_trajectory,unknown_trajectory
0,anxiety,job crisis,0.03954495092244962,0.06365035378132375,0.23134419261692804,0.012596083952364725,0.3834504675861592,0.15586407365778887,0.11354986124707815,0.0
1,depression,ongoing depression,0.020814934124158052,0.05310772687469932,0.09584570005069007,0.12468628807783393,0.4731332443329701,0.2071090713265397,0.02530304833518101,0.0
2,anxiety,job crisis,0.013691107109284067,0.010755428706476354,0.021155502200696844,0.506296966981751,0.30970712885032503,0.061696458155650405,0.07669742312054244,0.0
3,depression,breakup with partner,0.051431544032707076,0.07901985346246006,0.0829814142890045,0.0856873095984591,0.3105449211358538,0.2901796252699569,0.10015532052594885,0.0
4,disgust,problems with friends,0.12324523419327657,0.17269137835002416,0.05589867178787245,0.02679173106580199,0.5323814497199736,0.04325256808548264,0.045738968279164835,0.0
5,fear,ongoing depression,0.02507584824089007,0.03571657485074617,0.04304803647057348,0.28205362151571134,0.42281585144055034,0.05056546054616131,0.1407246026584012,0.0
6,anxiety,academic pressure,0.058301587555823584,0.09045323171275892,0.07931492414458524,0.08180272938306667,0.42048974831899016,0.22129253295826773,0.04834525344693768,0.0
7,anxiety,academic pressure,0.024598392707827904,0.01252125044563963,0.01864475908583873,0.21905175914899225,0.30563962865354766,0.262973122316457,0.1565711021733781,0.0
8,anxiety,job crisis,0.050470736341980786,0.04167265860471302,0.14935514191165566,0.17585580827238464,0.4053076399218005,0.128644142762328,0.048693887919474106,0.0
9,anxiety,ongoing depression,0.024959949771445458,0.04492111099113164,0.03081723140370657,0.34236817046084667,0.4030654423870147,0.09809474383598599,0.05577337043119016,0.0
10,anxiety,job crisis,0.019649686835335703,0.07041677342332218,0.1554197082439968,0.17666500634388613,0.28586901817070215,0.2624643912448757,0.029515416374410026,0.0
11,fear,problems with friends,0.0845449099116112,0.06330056875771278,0.013859880992006792,0.04897025567311864,0.5258662484543906,0.13726506236266825,0.1261930806301252,0.0
12,depression,job crisis,0.0499751544420812,0.050628033835561255,0.12627261157291342,0.1571969307506427,0.37874901580829773,0.19864543236987878,0.038532810044919395,0.0
13,anxiety,conflict with parents,0.06302485014991059,0.021762062394069897,0.01787904827974809,0.1987928210512495,0.46570941829475376,0.1692899094967729,0.06354190292812277,0.0
14,sadness,ongoing depression,0.024165425722475913,0.07549782087820547,0.07708957536595379,0.24039488872484782,0.4458621784448397,0.045597661578482614,0.09139246104793373,0.0
15,depression,ongoing depression,0.05651831584559246,0.08783678364366654,0.029169589528637265,0.1523330015647538,0.3849108668647912,0.17267866422543704,0.11655278304435787,0.0
16,fear,job crisis,0.09619048160089591,0.05176776382760688,0.03322508436495648,0.19953967938481854,0.5001446887622969,0.07214619909076511,0.04698611014558897,0.0
17,sadness,ongoing depression,0.011227739905810049,0.01897009475766842,0.029049107238473693,0.3312528911723766,0.46650244870983143,0.10665925141081381,0.03633847944813128,0.0
18,fear,job crisis,0.021120206309802714,0.021743932444870974,0.22746123973024357,0.01730408448184815,0.5250895232120492,0.15589245348034994,0.03138856682926417,0.0
19,shame,job crisis,0.04631527157232131,0.021651469557475773,0.09653882258898218,0.39954576985429185,0.3328420976463502,0.04013806657471371,0.06296849971351567,0.0
20,anxiety,job crisis,0.036378417695764595,0.06003430209480363,0.12876479717215705,0.17113466049252055,0.4429107213037929,0.0814582268581101,0.07931888328691966,0.0
21,depression,ongoing depression,0.049190554826233815,0.056002551070772684,0.12609479117717665,0.14048508837066878,0.45704885340510654,0.1333316819355465,0.037846478934471434,0.0
22,anxiety,academic pressure,0.07177833618636253,0.07868863519291164,0.0780914281755285,0.1744048872056307,0.4537763011631785,0.05957276738519149,0.0836876430488642,0.0
23,sadness,problems with friends,0.04325960479294268,0.040524561701037624,0.02293517718730669,0.2198232084871221,0.5290139980457568,0.08607909534624347,0.05836433894944856,0.0
24,sadness,problems with friends,0.16452423148148226,0.0740211082874642,0.030980664905897962,0.14904344681689202,0.22305871867535948,0.18166461546129234,0.17670720583759247,0.0
25,disgust,problems with friends,0.13426157827912408,0.15730677497768294,0.041630630590423774,0.14277491010651874,0.3269432700964302,0.15165986543937254,0.04542297995814928,0.0
26,depression,ongoing depression,0.0380082409169371,0.06287198025811157,0.09549832534520972,0.35382692531857174,0.16896821789921362,0.1551192850580969,0.1257070179858748,0.0
27,anxiety,job crisis,0.022529066945990606,0.014869576346006207,0.10691379815757318,0.30105247654376577,0.4596458430108674,0.0454709287203679,0.04951828885248969,0.0
28,anxiety,job crisis,0.027611002959163765,0.013859556321599503,0.07381466676604387,0.2821774429001149,0.3680109144795848,0.07202617071841368,0.16250023176974576,0.0
29,anger,job crisis,0.12021966706517904,0.06568503829356266,0.08904305363055802,0.06044379396271362,0.3229920120740478,0.14252684728012646,0.19908960419606206,0.0
30,anxiety,academic pressure,0.04873975674639007,0.026830947886944238,0.0845472426078265,0.17789427651999093,0.42531503247843677,0.1428867644838565,0.09378596415334238,0.0
31,sadness,ongoing depression,0.11991026835711374,0.09256500051795291,0.11970911210347926,0.14934848384913374,0.39119987602856365,0.09264760393266297,0.03461965902909381,0.0
32,fear,job crisis,0.036843299961242915,0.08911040989666155,0.06306506966988946,0.1261755886525473,0.5731608048903933,0.06206620773539328,0.04957861421985333,0.0
33,anger,academic pressure,0.13947869456867498,0.022917782861665154,0.01295753704313108,0.328460358849649,0.39852064370305906,0.059028691874118515,0.03863627751327485,0.0
34,anxiety,problems with friends,0.11004262865725169,0.09372925181876582,0.033932288587202306,0.09819877813163036,0.5269743722216615,0.027496880737277844,0.10962578903177175,0.0
35,disgust,problems with friends,0.08039918704501663,0.11477701140727886,0.053942660664668886,0.10954890144539506,0.42161936627710933,0.1521408433284891,0.06757203613317782,0.0
36,shame,job crisis,0.022186378258276927,0.03751334594893375,0.023113038169619605,0.13143674099630903,0.3709519030279339,0.2212522301860824,0.1935463698605555,0.0
37,depression,ongoing depression,0.049836828346834866,0.03144625374967212,0.012577027942414484,0.38406044409324924,0.2907785453092587,0.18146209259697743,0.04983881716366095,0.0
38,anxiety,ongoing depression,0.0919903927267265,0.1273035244897312,0.04808297157561516,0.11509319504290492,0.39478648955449824,0.14162235947013727,0.08112106997845112,0.0
39,anxiety,academic pressure,0.020513532160244548,0.035511966704980476,0.06422556564297865,0.26530005126902517,0.365424571471665,0.21471468176006844,0.03430963334973828,0.0
40,anxiety,breakup with partner,0.053596463765513865,0.02411196457900033,0.05024328498727644,0.16947722465908974,0.6101378116204781,0.040288352671522455,0.05214491027521441,0.0
41,depression,ongoing depression,0.030302677226479245,0.0141281303135207,0.06893253074558599,0.36701539423493407,0.20755944333293225,0.1690074682130806,0.143054351051846,0.0
42,sadness,Issues with Children,0.08357780538655879,0.10000715565656411,0.035340816287535125,0.18900847838577192,0.41489018964103785,0.09182867952348554,0.08534688092024699,0.0
43,sadness,job crisis,0.06870434506003442,0.015314325299820639,0.07020672607640419,0.20840095059402025,0.3911752926320663,0.10742634034338125,0.13877200401144696,0.0
44,depression,job crisis,0.020703914305911616,0.00696598976931105,0.02328502525020247,0.2894190948879203,0.46781237310944845,0.1001159838221681,0.09169763448289954,0.0
45,anger,problems with friends,0.195540632821259,0.02860116662798069,0.043372800176642766,0.13293132308009326,0.4377942246595216,0.12520195925908703,0.0365578979444039,0.0
46,anxiety,job crisis,0.018345230574417122,0.0462395276204667,0.3527118537138531,0.19337880841630145,0.2169380974508105,0.15085470294540063,0.021531760194431725,0.0
47,anxiety,academic pressure,0.08255705439852719,0.017406345079295713,0.06680239094570636,0.2639261039119293,0.4558289259088241,0.015192503518567832,0.09828667533362194,0.0
48,anger,job crisis,0.0692545179615263,0.022914554555124297,0.03662211295488912,0.25394041827957453,0.35491596562167005,0.15695154978583256,0.10540088766254482,0.0
49,sadness,breakup with partner,0.029165110977015556,0.016172694911250746,0.05124478086867329,0.27112115899658285,0.3505612528568952,0.20634791905820637,0.07538708527510718,0.0
50,anger,problems with friends,0.041559316680673315,0.0367304244556859,0.02989167804855877,0.32259521586035145,0.29389204426288856,0.1017195866514821,0.1736117363640612,0.0
51,anger,Sleep Problems,0.09721546864901212,0.04165721768556437,0.06799276632275378,0.11485918889291838,0.35062197441211307,0.2730690565297215,0.05458432627693242,0.0
52,sadness,breakup with partner,0.01143260459371266,0.042599904995101204,0.06989602029456626,0.2617699522735729,0.28646649386999873,0.26917379586181295,0.05866123884528256,0.0
53,anxiety,job crisis,0.051180243496727854,0.025451217270953203,0.10365470962505972,0.3613065454930347,0.3506797858156823,0.08963395674481045,0.01809352403230553,0.0
54,anxiety,job crisis,0.026524787145068087,0.013297557915627424,0.24390703124504182,0.21019462774496614,0.4272963903312173,0.03622893638842341,0.042550695267328555,0.0
55,sadness,job crisis,0.06573032718703248,0.07944169454521646,0.19506627859143344,0.006537894073163011,0.35891021364368497,0.18968270703365928,0.1046308747517239,0.0
56,anxiety,job crisis,0.04001435703329216,0.01768810122421652,0.050349259486552805,0.18614205229240602,0.4698911434302027,0.06710634596091827,0.16880873280710704,0.0
57,shame,Appearance Anxiety,0.030261401708747793,0.029036482888429947,0.04817722588713551,0.2617760191640292,0.5255170382734538,0.045342154430233365,0.05988968672879613,0.0
58,anxiety,academic pressure,0.02761203697237831,0.018480945282544084,0.20336982111159999,0.22319960366791253,0.341133380361761,0.09580276472637289,0.09040145794287899,0.0
59,depression,ongoing depression,0.04171338771339309,0.03200260478671808,0.09904175563295008,0.34887220151630033,0.3280914903294403,0.10641654276919783,0.04386202056421628,0.0
60,sadness,Issues with Children,0.04567412139513915,0.06125660925586778,0.035493961034455526,0.29481529115647487,0.3239608115777067,0.1929516661244284,0.04584753220633959,0.0
61,depression,ongoing depression,0.045992993232423694,0.03478226969067085,0.009148946897326052,0.18427703652096997,0.42941847440934827,0.2399695134540018,0.056410748542861475,0.0
62,anxiety,ongoing depression,0.11346434449347961,0.10650012541279277,0.015924957522592306,0.2139792080253367,0.24293104978497454,0.2841535500010449,0.023046751495539433,0.0
63,anger,breakup with partner,0.1370670973468492,0.03258957133643449,0.009115531756755425,0.3012794694820699,0.43803515128631093,0.0439110697522479,0.03800207793121775,0.0
64,anger,problems with friends,0.14563548233350196,0.048708510668333344,0.02344266613680145,0.08064967277459802,0.47015716336881597,0.12122858980306304,0.11017789957094787,0.0
65,anxiety,academic pressure,0.010584257890317118,0.004641989532513422,0.08442169436943026,0.33563195434963383,0.49490401245153687,0.029765641188765037,0.040050452227353456,0.0
66,anxiety,ongoing depression,0.05081039779477565,0.026261771611168768,0.015406889373639106,0.29231567995385366,0.4406614233764576,0.10386947341679982,0.07067435553941523,0.0
67,sadness,problems with friends,0.020977305275252767,0.041421802744764084,0.04940317693222877,0.12526064220053906,0.5224544628989782,0.1271798074529332,0.1133027961382181,0.0
68,depression,breakup with partner,0.06884484932374389,0.09005014303025749,0.04714976231965659,0.284625071383235,0.26614130565490585,0.16990786976251185,0.07328098728639439,0.0
69,depression,job crisis,0.011200307436637266,0.009519433994437495,0.03199961800057387,0.26099348947018997,0.35917303232579595,0.24388778644180292,0.08322633126450003,0.0
70,depression,ongoing depression,0.030231529865849614,0.057591067319354636,0.016387853259493036,0.075087440545992,0.6534366146579647,0.0893537467372827,0.07791174490179059,0.0
71,anxiety,academic pressure,0.02187998602942874,0.01859040539096185,0.015744791581461352,0.29685824965822627,0.38659684791647153,0.11229266050357328,0.14803704838750179,0.0
72,anger,problems with friends,0.1542724813700789,0.08488472922110833,0.04608927886417199,0.12418941075720208,0.39916143346683025,0.14800156514825033,0.043401089666839386,0.0
73,sadness,breakup with partner,0.03922872227596363,0.03343176730635131,0.06452440330294716,0.11975657087632631,0.632425451401513,0.06403649081745981,0.04659659550668658,0.0
